tax_id	species	genus	family	order	class	phylum	superkingdom
25812	Phlebiopsis_cylindrospora	Phlebiopsis	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25813	Rhizochaete_sp	Rhizochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25814	Rhizochaete_chinensis	Rhizochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25815	Hypochnicium_lyndoniae	Hypochnicium	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25816	Phlebiopsis_brunneocystidiata	Phlebiopsis	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25817	Neohypochnicium_murinum	Neohypochnicium	Polyporales_fam_Incertae_sedis	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25818	Rhizochaete_sulphurina	Rhizochaete	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25819	Gelatinofungus_brunneus	Gelatinofungus	Phanerochaetaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25820	Steccherinum_tenuissimum	Steccherinum	Steccherinaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25821	Citripora_bannaensis	Citripora	Steccherinaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25822	Steccherinum_yunnanense	Steccherinum	Steccherinaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25823	Butyrea_japonica	Butyrea	Steccherinaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25824	Botryobasidium_intertextum	Botryobasidium	Botryobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25825	Botryobasidium_obtusisporum	Botryobasidium	Botryobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25826	Efibula_tropica	Efibula	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25827	Phanerochaetella_formosana	Phanerochaetella	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25828	Efibula_americana	Efibula	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25829	Cerrena_gilbertsonii	Cerrena	Cerrenaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25830	Gloeoporus_dichrous	Gloeoporus	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25831	Ceriporia_occidentalis	Ceriporia	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25832	Ceriporia_sericea	Ceriporia	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25833	Ceriporia_humilis	Ceriporia	Irpicaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25834	Skeletocutis_lepida	Skeletocutis	Incrustoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25835	Skeletocutis_bambusicola	Skeletocutis	Incrustoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25836	Tyromyces_xuchilensis	Tyromyces	Incrustoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25837	Cerrena_caperata	Cerrena	Cerrenaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25838	Panus_similis	Panus	Panaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25839	Tyromyces_stramenticus	Tyromyces	Incrustoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25840	Skeletocutis_amorpha	Skeletocutis	Incrustoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25841	Radulodon_yunnanensis	Radulodon	Cerrenaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25842	Podoscypha_aculeata	Podoscypha	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25843	Podoscypha_bubalina	Podoscypha	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25844	Podoscypha_petalodes	Podoscypha	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25845	Rickiopora_latemarginata	Rickiopora	Podoscyphaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25846	Laetiporaceae_sp	Laetiporaceae_gen_Incertae_sedis	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25847	Nothofagiporus_venatus	Nothofagiporus	Postiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25848	Aurantipostia_macrospora	Aurantipostia	Postiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25849	Postia_ceriflua	Postia	Dacryobolaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25850	Phaeolus_sharmae	Phaeolus	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25851	Gloeophyllum_sepiarium	Gloeophyllum	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Fungi
25852	Gloeophyllum_striatum	Gloeophyllum	Gloeophyllaceae	Gloeophyllales	Agaricomycetes	Basidiomycota	Fungi
25853	Phaeolus_asiae-orientalis	Phaeolus	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25854	Obba_thailandica	Obba	Gelatoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25855	Cinereomyces_fimbriatus	Cinereomyces	Gelatoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25856	Obba_valdiviana	Obba	Gelatoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25857	Laetiporus_caribensis	Laetiporus	Laetiporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25858	Porogramme_sp	Porogramme	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25859	Botryobasidium_tubulicystidium	Botryobasidium	Botryobasidiaceae	Cantharellales	Agaricomycetes	Basidiomycota	Fungi
25860	Amauroderma_calcitum	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25861	Amauroderma_ovisporum	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
25862	Amauroderma_aurantiacum	Amauroderma	Polyporaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi
